행정동코드,읍면동명,거래수,년,평균거래금액,지니계수_거래금액,평균평당거래금액,지니계수_평당거래금액
1168058000,삼성1동,37,2024,263856.8,0.339,8667.4,0.202
1168064000,역삼1동,105,2024,180771.9,0.267,8056.5,0.186
1168065500,도곡1동,107,2024,276547.7,0.261,8110.7,0.152
1168067500,개포3동,300,2024,230427.4,0.209,9512.8,0.108
1168070000,세곡동,58,2024,126364.7,0.088,5740.1,0.075
1168072000,일원본동,66,2024,135447.6,0.175,7356.7,0.083
1171051000,풍납1동,46,2024,106578.3,0.1,4294.1,0.095
1171054000,마천1동,8,2024,86287.5,0.078,3489.3,0.087
1171056100,방이1동,76,2024,175697.4,0.202,6309.0,0.128
1171057000,오금동,40,2024,121805.0,0.165,4722.5,0.091
1171060000,석촌동,10,2024,87820.0,0.311,5091.2,0.136
1171061000,삼전동,2,2024,68000.0,0.007,3714.5,0.1
1171063100,가락1동,201,2024,156278.9,0.181,6883.1,0.146
1171064700,위례동,165,2024,113383.9,0.13,5248.5,0.083
1171069000,잠실4동,104,2024,199365.4,0.103,7789.9,0.079
1171072000,잠실7동,190,2024,214835.2,0.136,9599.8,0.086
1174051500,강일동,35,2024,84152.9,0.056,3633.4,0.067
1174052500,상일제1동,145,2024,121237.2,0.093,5465.4,0.079
1174053000,명일제1동,74,2024,109037.8,0.117,5351.5,0.119
1174060000,천호제1동,74,2024,78695.3,0.272,3858.2,0.175
1174068500,길동,51,2024,55572.8,0.283,3309.2,0.154
1174069000,둔촌제1동,39,2024,87128.2,0.118,4018.0,0.094
2611051000,중앙동,4,2024,26025.0,0.244,1457.8,0.273
2611053000,대청동,2,2024,14400.0,0.212,943.5,0.073
2611054500,보수동,10,2024,21170.0,0.249,1135.1,0.218
2611056000,부평동,4,2024,14387.5,0.206,910.1,0.176
2611059000,영주제1동,10,2024,15090.0,0.108,769.5,0.074
2614051000,동대신제1동,11,2024,39036.4,0.123,2059.2,0.122
2614052000,동대신제2동,5,2024,52100.0,0.25,1671.9,0.172
2614053000,동대신제3동,9,2024,34688.9,0.255,1508.7,0.203
2614054000,서대신제1동,79,2024,36921.6,0.287,1840.7,0.172
2614056000,서대신제3동,48,2024,38274.8,0.176,1527.5,0.168
2614059000,부민동,12,2024,23687.5,0.098,1075.2,0.061
2614061500,아미동,3,2024,13933.3,0.108,639.5,0.077
2614064000,충무동,31,2024,39116.5,0.205,1682.4,0.164
2614065000,남부민제1동,19,2024,24984.2,0.139,1073.9,0.097
2614068000,암남동,43,2024,50836.9,0.351,1774.4,0.271
2617051000,초량제1동,57,2024,38423.7,0.248,1782.4,0.193
2617056000,수정제1동,26,2024,32973.1,0.292,1724.0,0.277
2617064500,좌천동,40,2024,27155.0,0.281,1319.0,0.221
2620053000,남항동,16,2024,21472.1,0.176,1327.3,0.213
2620055000,영선제2동,12,2024,28891.7,0.22,1057.7,0.171
2620058500,신선동,23,2024,32934.8,0.252,1610.9,0.203
2620059000,봉래제1동,14,2024,23290.7,0.341,1060.5,0.225
2620060500,봉래제2동,4,2024,7850.0,0.172,465.2,0.142
2620063000,청학제1동,47,2024,19268.1,0.182,882.0,0.209
2620065000,동삼제1동,87,2024,18610.3,0.293,934.4,0.22
2623051000,부전제1동,101,2024,46013.2,0.289,1901.4,0.263
2623052000,부전제2동,113,2024,30507.5,0.228,1519.8,0.144
2623054000,연지동,45,2024,37933.3,0.209,1572.7,0.187
2623067000,당감제1동,112,2024,22894.2,0.254,1122.8,0.18
2623068000,당감제2동,76,2024,32950.0,0.26,1379.5,0.225
2623070000,당감제4동,138,2024,33047.8,0.192,1418.9,0.139
2623074000,개금제1동,143,2024,26833.1,0.297,1207.5,0.213
2626051000,수민동,103,2024,36749.0,0.232,1607.4,0.149
2626052000,복산동,6,2024,42766.7,0.215,1569.0,0.162
2626054500,명륜동,105,2024,66771.6,0.143,2614.2,0.094
2626055000,온천제1동,308,2024,48116.7,0.277,2038.0,0.238
2626058000,사직제1동,156,2024,57901.6,0.255,2311.9,0.242
2626074000,안락제1동,79,2024,36566.5,0.168,1603.0,0.132
2626076100,명장제1동,57,2024,32712.3,0.194,1503.1,0.154
2629051000,대연제1동,265,2024,51853.2,0.275,2244.0,0.212
2629057000,용호제1동,228,2024,63823.0,0.44,1931.6,0.306
2629061000,용당동,19,2024,27534.2,0.173,1076.9,0.107
2629062000,감만제1동,43,2024,18580.3,0.192,961.0,0.143
2629064500,우암동,35,2024,22778.6,0.16,1112.7,0.104
2629068000,문현제1동,109,2024,38171.2,0.185,1766.6,0.176
2632051000,구포제1동,94,2024,25656.4,0.29,1139.6,0.24
2632053000,금곡동,146,2024,19503.8,0.326,965.0,0.215
2632054300,화명제3동,349,2024,37984.4,0.263,1554.2,0.191
2632055000,덕천제1동,49,2024,20159.9,0.3,1080.9,0.228
2632057100,만덕제1동,222,2024,27754.2,0.183,1251.5,0.165
2635052500,우제3동,154,2024,95123.9,0.307,3093.1,0.174
2635053000,중제1동,111,2024,82267.7,0.397,2668.5,0.251
2635055100,좌제1동,289,2024,43423.2,0.22,1867.9,0.103
2635056000,송정동,12,2024,26088.3,0.181,1341.3,0.196
